,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,fact1,fact2,answer
302,"The place of death of Sigismund I, Prince of Anhalt-Dessau is","The place of death of the father of Albert V, Prince of Anhalt-Dessau is","Sigismund I, Prince of Anhalt-Dessau","the father of Albert V, Prince of Anhalt-Dessau","['Albert V, Prince of Anhalt-Dessau', 'father', 'Sigismund I, Prince of Anhalt-Dessau']","['Sigismund I, Prince of Anhalt-Dessau', 'place of death', 'Coswig']",Coswig
303,The place of birth of Marek Koterski is,The place of birth of the director of Nothing Funny is,Marek Koterski,the director of Nothing Funny,"['Nothing Funny', 'director', 'Marek Koterski']","['Marek Koterski', 'place of birth', 'Kraków']",Kraków
304,The father of Jean-Marie Poiré is,The father of the director of Santa Claus Is a Stinker is,Jean-Marie Poiré,the director of Santa Claus Is a Stinker,"['Santa Claus Is a Stinker', 'director', 'Jean-Marie Poiré']","['Jean-Marie Poiré', 'father', 'Alain Poiré']",Alain Poiré
305,Thomas Hart Benton was educated at,The father of Jessie Benton Frémont was educated at,Thomas Hart Benton,the father of Jessie Benton Frémont,"['Jessie Benton Frémont', 'father', 'Thomas Hart Benton']","['Thomas Hart Benton', 'educated at', 'North Carolina']",North Carolina
306,The place of birth of Steve Rasnic Tem is,The place of birth of the spouse of Melanie Tem is,Steve Rasnic Tem,the spouse of Melanie Tem,"['Melanie Tem', 'spouse', 'Steve Rasnic Tem']","['Steve Rasnic Tem', 'place of birth', 'Jonesville']",Jonesville
307,"The date of birth of Thomas Onslow, 2nd Baron Onslow is","The date of birth of the father of Richard Onslow, 3rd Baron Onslow is","Thomas Onslow, 2nd Baron Onslow","the father of Richard Onslow, 3rd Baron Onslow","['Richard Onslow, 3rd Baron Onslow', 'father', 'Thomas Onslow, 2nd Baron Onslow']","['Thomas Onslow, 2nd Baron Onslow', 'date of birth', '27 November 1679']",27 November 1679
308,The country of citizenship of Babur is,The country of citizenship of the spouse of Zainab Sultan Begum is,Babur,the spouse of Zainab Sultan Begum,"['Zainab Sultan Begum', 'spouse', 'Babur']","['Babur', 'country of citizenship', 'Mughal Empire']",Mughal Empire
309,The place of birth of Nicki Minaj is,The place of birth of the composer of Marilyn Monroe is,Nicki Minaj,the composer of Marilyn Monroe,"['Marilyn Monroe', 'composer', 'Nicki Minaj']","['Nicki Minaj', 'place of birth', 'Port of Spain']",Port of Spain
310,Lord Eustace Cecil was educated at,"The father of Evelyn Cecil, 1st Baron Rockley was educated at",Lord Eustace Cecil,"the father of Evelyn Cecil, 1st Baron Rockley","['Evelyn Cecil, 1st Baron Rockley', 'father', 'Lord Eustace Cecil']","['Lord Eustace Cecil', 'educated at', 'Royal Military College, Sandhurst']","Royal Military College, Sandhurst"
311,The place of death of  Aurelia is,The place of death of the mother of Julia the Younger is,Aurelia,the mother of Julia the Younger,"['Julia the Younger', 'mother', 'Aurelia Cotta']","[' Aurelia', 'place of death', 'Roman']",Roman
312,The place of death of Roberto Rossellini is,The place of death of the director of Giovanna d'Arco al rogo is,Roberto Rossellini,the director of Giovanna d'Arco al rogo,"[""Giovanna d'Arco al rogo"", 'director', 'Roberto Rossellini']","['Roberto Rossellini', 'place of death', 'Rome']",Rome
313,Tanikella Bharani received the,The director of  Mithunam received the,Tanikella Bharani,the director of  Mithunam,"[' Mithunam', 'director', 'Tanikella Bharani']","['Tanikella Bharani', 'award received', 'Nandi Awards']",Nandi Awards
314,The place of death of Gustavo Alatriste is,The place of death of the director of The House of Bernarda Alba is,Gustavo Alatriste,the director of The House of Bernarda Alba,"['The House of Bernarda Alba', 'director', 'Gustavo Alatriste']","['Gustavo Alatriste', 'place of death', 'Houston, Texas']","Houston, Texas"
315,The place of death of Eugene C. Pulliam is,The place of death of the father of Eugene S. Pulliam is,Eugene C. Pulliam,the father of Eugene S. Pulliam,"['Eugene S. Pulliam', 'father', 'Eugene C. Pulliam']","['Eugene C. Pulliam', 'place of death', 'Arizona']",Arizona
316,The country of citizenship of Sibyl de Neufmarché is,The country of citizenship of the mother of Margaret of Hereford is,Sibyl de Neufmarché,the mother of Margaret of Hereford,"['Margaret of Hereford', 'mother', 'Sibyl de Neufmarché']","['Sibyl de Neufmarché', 'country of citizenship', 'Welsh']",Welsh
317,The place of birth of Amber Sainsbury is,The place of birth of the spouse of Jamie Campbell is,Amber Sainsbury,the spouse of Jamie Campbell,"['Jamie Campbell', 'spouse', 'Amber Sainsbury']","['Amber Sainsbury', 'place of birth', 'New Zealand']",New Zealand
318,The place of birth of J. Searle Dawley is,The place of birth of the director of An Hour Before Dawn is,J. Searle Dawley,the director of An Hour Before Dawn,"['An Hour Before Dawn', 'director', 'J. Searle Dawley']","['J. Searle Dawley', 'place of birth', 'Colorado']",Colorado
319,The place of birth of Thorvald Stoltenberg is,The place of birth of the spouse of Karin Stoltenberg is,Thorvald Stoltenberg,the spouse of Karin Stoltenberg,"['Karin Stoltenberg', 'spouse', 'Thorvald Stoltenberg']","['Thorvald Stoltenberg', 'place of birth', 'Oslo']",Oslo
320,The place of death of Carl Friedrich Otto Westphal is,The place of death of the father of Alexander Carl Otto Westphal is,Carl Friedrich Otto Westphal,the father of Alexander Carl Otto Westphal,"['Alexander Carl Otto Westphal', 'father', 'Carl Friedrich Otto Westphal']","['Carl Friedrich Otto Westphal', 'place of death', 'Kreuzlingen']",Kreuzlingen
321,The place of birth of Raymond L. Schrock is,The place of birth of the director of The Gentle Art of Burglary is,Raymond L. Schrock,the director of The Gentle Art of Burglary,"['The Gentle Art of Burglary', 'director', 'Raymond L. Schrock']","['Raymond L. Schrock', 'place of birth', 'Goshen']",Goshen
322,The place of birth of Manoel de Oliveira is,The place of birth of the director of The Strange Case of Angelica is,Manoel de Oliveira,the director of The Strange Case of Angelica,"['The Strange Case of Angelica', 'director', 'Manoel de Oliveira']","['Manoel de Oliveira', 'place of birth', 'Porto']",Porto
323,The date of death of Pythodorida of Pontus is,The date of death of the mother of Polemon II of Pontus is,Pythodorida of Pontus,the mother of Polemon II of Pontus,"['Polemon II of Pontus', 'mother', 'Pythodorida of Pontus']","['Pythodorida of Pontus', 'date of death', '38']",38
324,The place of birth of Abu Yusuf Yaqub al-Mansur is,The place of birth of the father of Muhammad al-Nasir is,Abu Yusuf Yaqub al-Mansur,the father of Muhammad al-Nasir,"['Muhammad al-Nasir', 'father', 'Abu Yusuf Yaqub al-Mansur']","['Abu Yusuf Yaqub al-Mansur', 'place of birth', 'Morocco']",Morocco
325,The country of citizenship of Billy Murray is,The country of citizenship of the performer of Dear Sing Sing is,Billy Murray,the performer of Dear Sing Sing,"['Dear Sing Sing', 'performer', 'Billy Murray']","['Billy Murray', 'country of citizenship', 'United States']",United States
326,The place of death of Jacques Jaccard is,The place of death of the director of Riders of the Plains is,Jacques Jaccard,the director of Riders of the Plains,"['Riders of the Plains', 'director', 'Jacques Jaccard']","['Jacques Jaccard', 'place of death', 'Los Angeles, California']","Los Angeles, California"
327,The country of citizenship of Gilles Vigneault is,The country of citizenship of the performer of Il me reste un pays is,Gilles Vigneault,the performer of Il me reste un pays,"['Il me reste un pays', 'performer', 'Gilles Vigneault']","['Gilles Vigneault', 'country of citizenship', 'Canadian']",Canadian
328,The country of citizenship of Tahmasp I is,The country of citizenship of the father of Haydar Mirza Safavi is,Tahmasp I,the father of Haydar Mirza Safavi,"['Haydar Mirza Safavi', 'father', 'Tahmasp I']","['Tahmasp I', 'country of citizenship', 'Safavid Empire']",Safavid Empire
329,The place of birth of Ventura Pons is,The place of birth of the director of Actrius is,Ventura Pons,the director of Actrius,"['Actrius', 'director', 'Ventura Pons']","['Ventura Pons', 'place of birth', 'Barcelona']",Barcelona
330,"The place of birth of Edmund of Langley, 1st Duke of York is","The place of birth of the spouse of Isabella of Castile, Duchess of York is","Edmund of Langley, 1st Duke of York","the spouse of Isabella of Castile, Duchess of York","['Isabella of Castile, Duchess of York', 'spouse', 'Edmund of Langley, 1st Duke of York']","['Edmund of Langley, 1st Duke of York', 'place of birth', 'Kings Langley']",Kings Langley
331,The place of birth of Duke Anthony Ulrich of Brunswick is,The place of birth of the father of Alexei Antonovich of Brunswick is,Duke Anthony Ulrich of Brunswick,the father of Alexei Antonovich of Brunswick,"['Alexei Antonovich of Brunswick', 'father', 'Duke Anthony Ulrich of Brunswick']","['Duke Anthony Ulrich of Brunswick', 'place of birth', 'Bevern']",Bevern
332,"The place of death of John of Luxembourg, Lord of Beauvoir is",The place of death of the father of Lewis of Luxembourg is,"John of Luxembourg, Lord of Beauvoir",the father of Lewis of Luxembourg,"['Lewis of Luxembourg', 'father', 'John of Luxembourg, Lord of Beauvoir']","['John of Luxembourg, Lord of Beauvoir', 'place of death', 'Italy']",Italy
333,The date of birth of Lorie is,The date of birth of the performer of Près de moi is,Lorie,the performer of Près de moi,"['Près de moi', 'performer', 'Lorie']","['Lorie', 'date of birth', 'May 2, 1982']","May 2, 1982"
334,The place of birth of David Yow is,The place of birth of the has part of Qui is,David Yow,the has part of Qui,"['Qui', 'has part', 'David Yow']","['David Yow', 'place of birth', 'Las Vegas, Nevada']","Las Vegas, Nevada"
335,The place of death of M. B. Sreenivasan is,The place of death of the composer of Edavazhiyile Poocha Minda Poocha is,M. B. Sreenivasan,the composer of Edavazhiyile Poocha Minda Poocha,"['Edavazhiyile Poocha Minda Poocha', 'composer', 'M. B. Sreenivasan']","['M. B. Sreenivasan', 'place of death', 'Lakshadweep']",Lakshadweep
336,The place of death of Narathihapate is,The place of death of the spouse of Shin Hpa of Pagan is,Narathihapate,the spouse of Shin Hpa of Pagan,"['Shin Hpa of Pagan', 'spouse', 'Narathihapate']","['Narathihapate', 'place of death', 'Pyay']",Pyay
337,The place of birth of Moza bint Nasser is,The place of birth of the mother of Sheikha Hind bint Hamad Al-Thani is,Moza bint Nasser,the mother of Sheikha Hind bint Hamad Al-Thani,"['Sheikha Hind bint Hamad Al-Thani', 'mother', 'Moza bint Nasser']","['Moza bint Nasser', 'place of birth', 'Al Khor']",Al Khor
338,The place of burial of Bahadur Shah II is,The place of burial of the father of Mirza Shah Abbas is,Bahadur Shah II,the father of Mirza Shah Abbas,"['Mirza Shah Abbas', 'father', 'Bahadur Shah II']","['Bahadur Shah II', 'place of burial', 'Rangoon']",Rangoon
339,The place of death of Jerry Gray is,The place of death of the composer of A String of Pearls is,Jerry Gray,the composer of A String of Pearls,"['A String of Pearls', 'composer', 'Jerry Gray']","['Jerry Gray', 'place of death', 'Dallas']",Dallas
340,The place of birth of Robert Dornhelm is,The place of birth of the director of The Venice Project is,Robert Dornhelm,the director of The Venice Project,"['The Venice Project', 'director', 'Robert Dornhelm']","['Robert Dornhelm', 'place of birth', 'Temesvár']",Temesvár
341,The employer of Éric Rohmer is,The employer of the director of The Marquise of O is,Éric Rohmer,the director of The Marquise of O,"['The Marquise of O', 'director', 'Éric Rohmer']","['Éric Rohmer', 'employer', 'Cahiers du cinéma']",Cahiers du cinéma
342,The place of birth of Georg Wildhagen is,The place of birth of the director of A Night in Venice is,Georg Wildhagen,the director of A Night in Venice,"['A Night in Venice', 'director', 'Georg Wildhagen']","['Georg Wildhagen', 'place of birth', 'Hamburg']",Hamburg
343,The place of burial of Marek Sobieski is,The place of burial of the father of Aleksandra Marianna Wiesiołowska is,Marek Sobieski,the father of Aleksandra Marianna Wiesiołowska,"['Aleksandra Marianna Wiesiołowska', 'father', 'Marek Sobieski']","['Marek Sobieski', 'place of burial', 'Lublin']",Lublin
344,"The date of birth of Leopold II, Grand Duke of Tuscany is",The date of birth of the spouse of Marie Anna of Saxony is,"Leopold II, Grand Duke of Tuscany",the spouse of Marie Anna of Saxony,"['Marie Anna of Saxony', 'spouse', 'Leopold II, Grand Duke of Tuscany']","['Leopold II, Grand Duke of Tuscany', 'date of birth', '3 October 1797']",3 October 1797
345,"The date of death of John Montagu, 5th Earl of Sandwich is","The date of death of the father of George John Montagu, 6th Earl of Sandwich is","John Montagu, 5th Earl of Sandwich","the father of George John Montagu, 6th Earl of Sandwich","['George John Montagu, 6th Earl of Sandwich', 'father', 'John Montagu, 5th Earl of Sandwich']","['John Montagu, 5th Earl of Sandwich', 'date of death', '6 June 1814']",6 June 1814
346,The place of birth of Kalvakuntla Chandrashekhar Rao is,The place of birth of the father of Kalvakuntla Taraka Rama Rao is,Kalvakuntla Chandrashekhar Rao,the father of Kalvakuntla Taraka Rama Rao,"['Kalvakuntla Taraka Rama Rao', 'father', 'Kalvakuntla Chandrashekar Rao']","['Kalvakuntla Chandrashekhar Rao', 'place of birth', 'Siddipet']",Siddipet
347,The father of Khyentse Norbu is,The father of the director of The Cup is,Khyentse Norbu,the director of The Cup,"['The Cup', 'director', 'Khyentse Norbu']","['Khyentse Norbu', 'father', 'Thinley Norbu']",Thinley Norbu
348,The place of birth of Bob Seger is,The place of birth of the performer of Her Strut is,Bob Seger,the performer of Her Strut,"['Her Strut', 'performer', 'Bob Seger']","['Bob Seger', 'place of birth', 'Detroit']",Detroit
349,The country of citizenship of Bonne of Berry is,The country of citizenship of the mother of Felix V is,Bonne of Berry,the mother of Felix V,"['Felix V', 'mother', 'Bonne of Berry']","['Bonne of Berry', 'country of citizenship', 'France']",France
